"collection_date","sp_name","species","sex","mean_ctmax","ctmax_se"
2023-05-25,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",31.5506146847944,0.221665654211599
2023-05-25,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",30.7143891822463,0.416427977189459
2023-05-25,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",35.0255272633745,0.596553129713328
2023-05-30,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",31.3174145794682,0.45328446723013
2023-05-30,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",31.5472222222222,1.0718446490262
2023-05-30,"Limnocalanus macrurus","limnocalanus_macrurus","female",25.3000135281385,1.22972530541677
2023-06-19,"Epischura lacustris","epischura_lacustris","female",33.3078703703704,0.733796296296301
2023-06-19,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",32.2701125841751,0.553432259362583
2023-06-22,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",31.9534993363118,0.515478510654523
2023-06-22,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",37.1032638888889,0.217318608286802
2023-06-25,"Epischura lacustris","epischura_lacustris","female",34.0642361111111,NA
2023-06-25,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",33.2407407407407,NA
2023-06-25,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",37.217563522126,0.215381139348579
2023-07-01,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",33.5979277790662,0.121841294301098
